country,iso3,who_region,subregion,wb_income_group
Algeria,DZA,AFRO,Northern Africa,
Angola,AGO,AFRO,Central Africa,
Benin,BEN,AFRO,Western Africa,
Botswana,BWA,AFRO,Southern Africa,
Burkina Faso,BFA,AFRO,Western Africa,
Burundi,BDI,AFRO,Eastern Africa,
Cabo Verde,CPV,AFRO,Western Africa,
Cameroon,CMR,AFRO,Central Africa,
Central African Republic,CAF,AFRO,Central Africa,
Chad,TCD,AFRO,Central Africa,
Comoros,COM,AFRO,Eastern Africa,
Congo,COG,AFRO,Central Africa,
Cote d'Ivoire,CIV,AFRO,Western Africa,
Democratic Republic of the Congo,COD,AFRO,Central Africa,
Equatorial Guinea,GNQ,AFRO,Central Africa,
Eritrea,ERI,AFRO,Eastern Africa,
Eswatini,SWZ,AFRO,Southern Africa,
Ethiopia,ETH,AFRO,Eastern Africa,
Gabon,GAB,AFRO,Central Africa,
Gambia,GMB,AFRO,Western Africa,
Ghana,GHA,AFRO,Western Africa,
Guinea,GIN,AFRO,Western Africa,
Guinea-Bissau,GNB,AFRO,Western Africa,
Kenya,KEN,AFRO,Eastern Africa,
Lesotho,LSO,AFRO,Southern Africa,
Liberia,LBR,AFRO,Western Africa,
Madagascar,MDG,AFRO,Eastern Africa,
Malawi,MWI,AFRO,Southern Africa,
Mali,MLI,AFRO,Western Africa,
Mauritania,MRT,AFRO,Western Africa,
Mauritius,MUS,AFRO,Eastern Africa,
Mozambique,MOZ,AFRO,Southern Africa,
Namibia,NAM,AFRO,Southern Africa,
Niger,NER,AFRO,Western Africa,
Nigeria,NGA,AFRO,Western Africa,
Rwanda,RWA,AFRO,Eastern Africa,
Sao Tome and Principe,STP,AFRO,Central Africa,
Senegal,SEN,AFRO,Western Africa,
Seychelles,SYC,AFRO,Eastern Africa,
Sierra Leone,SLE,AFRO,Western Africa,
South Africa,ZAF,AFRO,Southern Africa,
South Sudan,SSD,AFRO,Eastern Africa,
Togo,TGO,AFRO,Western Africa,
Uganda,UGA,AFRO,Eastern Africa,
United Republic of Tanzania,TZA,AFRO,Eastern Africa,
Zambia,ZMB,AFRO,Southern Africa,
Zimbabwe,ZWE,AFRO,Southern Africa,
